Word,pos,meaning,rank
mister,名,…さん ,1
vacation,名,休暇,2
client,名,顧客、クライアント,3
e-book,名,電子書籍,4
airport,名,空港,5
memo,名,メモ,6
reservation,名,予約,7
logical,形,論理的な,8
fax,名,ファックス ,9
o'clock,副,時,10
sincerely,副,心から,11
sometime,副,いつか,12
supervisor,名,上司、監督,13
refund,動,払い戻す,14
goods,名,物品、商品,15
workshop,名,作業場,16
downtown,名,繁華街 ,17
deadline,名,締切、期日,18
invoice,名,請求書,19
brochure,名,パンフレット,20
noon,名,正午,21
accountant,名,会計士,22
clerk,名,事務員、フロント係 ,23
lobby,名,ロビー,24
publish,動,出版する ,25
résumé,名,履歴書,26
enclose,動,囲む、同封する,27
applicant,名,応募者,28
seminar,名,セミナー、ゼミ,29
technician,名,技術者、技巧家,30
cloth,名,布、布切れ ,31
fare,名,運賃 ,32
receipt,名,領収書,33
traveler,名,"旅行家,",34
caller,名,訪問者,35
subway,名,地下鉄,36
luggage,名,手荷物,37
shipment,名,発送、発送品,38
infer,動,推測する,39
waiter,名,ウェイター ,40
rental,名,賃貸料,41
warranty,名,保証,42
cafeteria,名,食堂,43
chef,名,シェフ、コック、料理人,44
elevator,名,エレベーター ,45
reception,名,受付,46
correctly,副,正しく,47
lease,名,賃貸、賃貸契約,48
bicycle,名,自転車,49
notify,動,知らせる,50
preview,名,予告、下見,51
attendant,名,接客係、付人,52
subscription,名,定期購読,53
convenient,形,便利な,54
manual,形,手の，手動の.,55
clue,名,手がかり,56
garage,名,車庫、ガレージ ,57
obtain,動,取得する、達成する,58
oval,名,卵形、卵形のもの,59
inventory,名,在庫品,60
outdoor,形,戸外の,61
suitcase,名,スーツケース ,62
destination,名,行き先、目的地,63
occupation,名,職業,64
postpone,動,延期する,65
contradict,動,相反する、反論する,66
umbrella,名,傘,67
inference,名,推論,68
cellphone,名,携帯電話,69
compact,形,小さくて経済的な,70
merchandise,名,商品,71
receptionist,名,受付係,72
dentist,名,歯医者 ,73
identification,名,身分証明書,74
coupon,名,割引券,75
depart,動,出発する,76
reschedule,動,予定を変更する,77
tactic,名,戦略、戦術,78
renovation,名,改修・リフォーム,79
upgrade,動,格上げする,80
precede,動,先に起こる,81
replacement,名,代わりのもの,82
dine,動,食事をする,83
passport,名,パスポート ,84
coworker,名,同僚,85
upcoming,形,今度の・来たる,86
cabinet,名,内閣,87
appliance,名,電化製品,88
explanatory,形,説明的な,89
instructor,名,指導者,90
keyboard,名,鍵盤,91
media,名,マスコミ,92
supermarket,名,スーパー,93
valid,形,合法的な、有効な,94
admission,名,入学・入会金,95
laptop,形,ラップトップの,96
underline,動,強調する,97
electrical,形,電気に関する,98
airplane,名,飛行機,99
assignment,名,課題,100
exit,名,出口 ,101
attendee,名,出席者,102
cruise,名,クルーズ、巡航,103
birthday,名,誕生日,104
café,名,カフェ,105
comprehension,名,理解、理解力,106
mall,名,ショッピングモール,107
medication,名,薬物治療,108
recycle,動,再生利用する,109
renew,動,更新する,110
tenant,名,賃借人、住人,111
sandwich,名,サンドイッチ,112
departure,名,出発,113
mini,名,ミニスカート,114
fitness,名,健康,115
inconvenience,名,不便,116
banquet,名,宴会、祝宴,117
closet,名,収納室、戸棚,118
unreal,形,実在しない,119
distractor,名,（クイズの）紛らわしい選択肢,120
expire,動,期限が満了する,121
folder,名,紙ばさみ,122
photocopy,動,コピーする,123
renovate,動,元気を回復させる,124
sunny,形,日当たりのよい,125
calendar,名,カレンダー、暦法,126
donation,名,寄贈、寄付,127
feedback,名,反応,128
shortly,副,間もなく,129
snack,名,軽食,130
warehouse,名,倉庫,131
copier,名,コピー機,132
provider,名,供給者、扶養者,133
beverage,名,飲み物,134
hungry,形,空腹な,135
inspection,名,検査,136
recipient,名,受取人,137
aisle,名,通路,138
inspect,動,検査する,139
mechanic,名,修理工,140
merger,名,合併,141
soccer,名,サッカー,142
sweater,名,セーター ,143
ingredient,名,原料、材料,144
rewrite,動,書き直す,145
itinerary,名,旅行計画. ,146
workplace,名,職場,147
architect,名,建築家,148
convenience,名,便利さ,149
eligible,形,適格で,150
indoor,形,屋内の,151
baggage,名,荷物,152
dial,名,文字盤 ,153
container,名,コンテナ,154
drawer,名,引き出し、たんす,155
lab,名,研究所・実験室,156
submission,名,服従、従順,157
bulletin,名,公報,158
certificate,名,証明書,159
